Participant,FirstCardPlayed,Card_1,Card_2,Card_3,Card_4,Card_5,Card_6,Card_7,Card_8,Card_9,Card_10,Card_11,Card_12,Card_13,ScoreOnNextPlay
228,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
232,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
236,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
242,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1
244,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2
252,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
260,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
262,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2
266,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
270,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2
276,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
279,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
284,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
287,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
294,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1
296,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
302,12,0,0,0,0,0,0,0,0,0,0,0,1,0,2
305,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
311,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
315,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
319,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
323,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2
329,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
332,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2
337,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
340,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2
346,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
351,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
352,12,0,0,0,0,0,0,0,0,0,0,0,1,0,2
357,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
360,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2
366,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2
370,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
377,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1
379,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
384,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
389,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1
392,10,0,0,0,0,0,0,0,0,0,1,0,0,0,2
399,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
402,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
407,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
413,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
414,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
420,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
424,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
430,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
433,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
440,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
443,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
450,7,0,0,0,0,0,0,1,0,0,0,0,0,0,3
452,12,0,0,0,0,0,0,0,0,0,0,0,1,0,2
457,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
463,10,0,0,0,0,0,0,0,0,0,1,0,0,0,2
465,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
471,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
474,13,0,0,0,0,0,0,0,0,0,0,0,0,1,2
480,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
484,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
492,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
493,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
502,11,0,0,0,0,0,0,0,0,0,0,1,0,0,2
510,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3
512,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
518,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
521,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
527,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
529,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2
535,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
538,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2
542,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
546,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
551,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
555,12,0,0,0,0,0,0,0,0,0,0,0,1,0,2
560,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
566,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
567,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
575,11,0,0,0,0,0,0,0,0,0,0,1,0,0,3
577,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2
582,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2
585,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
592,8,0,0,0,0,0,0,0,1,0,0,0,0,0,3
594,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
601,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
604,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
610,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
613,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
619,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
623,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
627,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
631,13,0,0,0,0,0,0,0,0,0,0,0,0,1,2
636,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
641,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1
643,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
650,12,0,0,0,0,0,0,0,0,0,0,0,1,0,3
653,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
657,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
661,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
665,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
669,10,0,0,0,0,0,0,0,0,0,1,0,0,0,2
673,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
677,11,0,0,0,0,0,0,0,0,0,0,1,0,0,2
684,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2
687,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
694,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
698,12,0,0,0,0,0,0,0,0,0,0,0,1,0,2
702,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
707,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2
714,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
717,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
721,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
725,7,0,0,0,0,0,0,1,0,0,0,0,0,0,2
731,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
734,10,0,0,0,0,0,0,0,0,0,1,0,0,0,2
739,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
742,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
749,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1
751,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
755,7,0,0,0,0,0,0,1,0,0,0,0,0,0,2
759,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
765,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
770,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
771,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
776,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
779,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
780,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
787,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
790,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
795,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
799,12,0,0,0,0,0,0,0,0,0,0,0,1,0,2
804,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
809,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1
811,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
817,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
820,7,0,0,0,0,0,0,1,0,0,0,0,0,0,2
826,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
830,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
838,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
844,11,0,0,0,0,0,0,0,0,0,0,1,0,0,2
847,7,0,0,0,0,0,0,1,0,0,0,0,0,0,2
852,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2
855,11,0,0,0,0,0,0,0,0,0,0,1,0,0,2
861,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
866,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
867,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
873,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
878,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
879,12,0,0,0,0,0,0,0,0,0,0,0,1,0,2
886,4,0,0,0,1,0,0,0,0,0,0,0,0,0,3
888,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
895,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
898,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
907,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2
909,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
916,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1
918,13,0,0,0,0,0,0,0,0,0,0,0,0,1,2
923,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
926,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
932,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
936,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
940,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
944,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2
950,7,0,0,0,0,0,0,1,0,0,0,0,0,0,2
954,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
958,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
962,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
967,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
970,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
975,10,0,0,0,0,0,0,0,0,0,1,0,0,0,2
978,13,0,0,0,0,0,0,0,0,0,0,0,0,1,2
984,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
989,12,0,0,0,0,0,0,0,0,0,0,0,1,0,2
994,11,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1000,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1001,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1005,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1010,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1011,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1018,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1020,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1026,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1030,8,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1037,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1039,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1044,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1048,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1053,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1057,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1064,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1066,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1072,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1076,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
1083,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1084,10,0,0,0,0,0,0,0,0,0,1,0,0,0,2
1088,11,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1092,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1098,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1102,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1107,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2
1112,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1114,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2
1121,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1123,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1127,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1131,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1135,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1140,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1144,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1148,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1152,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1156,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1163,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1164,8,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1170,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1173,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1179,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1182,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1188,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1191,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1197,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1200,12,0,0,0,0,0,0,0,0,0,0,0,1,0,2
1204,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1208,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1215,6,0,0,0,0,0,1,0,0,0,0,0,0,0,3
1217,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1222,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2
1225,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1231,5,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1233,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1237,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1241,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1246,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1251,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2
1259,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1261,8,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1265,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1270,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1275,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1278,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1283,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1288,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1290,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1296,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1299,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1304,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1307,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1311,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1315,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1321,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1324,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1331,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1334,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1340,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1343,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1351,11,0,0,0,0,0,0,0,0,0,0,1,0,0,3
1353,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1360,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1364,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1368,5,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1373,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1381,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1383,12,0,0,0,0,0,0,0,0,0,0,0,1,0,2
1387,7,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1391,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1397,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1401,11,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1407,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1412,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1413,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1419,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1422,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1427,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2
1432,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1433,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1438,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2
1443,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1444,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2
1452,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1453,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1457,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1461,10,0,0,0,0,0,0,0,0,0,1,0,0,0,2
1465,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1469,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1474,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1477,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1482,10,0,0,0,0,0,0,0,0,0,1,0,0,0,2
1485,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1486,12,0,0,0,0,0,0,0,0,0,0,0,1,0,2
1491,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1496,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1503,11,0,0,0,0,0,0,0,0,0,0,1,0,0,3
1505,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1512,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2
1516,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1522,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1526,11,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1533,13,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1535,8,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1541,8,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1544,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1548,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1552,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1560,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1566,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1569,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1574,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1577,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1583,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1587,12,0,0,0,0,0,0,0,0,0,0,0,1,0,2
1592,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1597,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1600,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1606,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1609,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1615,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1619,8,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1625,7,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1629,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1634,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1637,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1643,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2
1647,7,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1652,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1655,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1663,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1667,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1672,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1673,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1677,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1681,11,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1685,7,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1689,11,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1693,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1697,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2
1704,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1707,7,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1713,5,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1715,11,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1721,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1726,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1733,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1735,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1740,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1745,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1747,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1753,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1758,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1759,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1765,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1768,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2
1777,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1778,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1782,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1787,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1788,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1794,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1798,13,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1804,5,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1808,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1813,10,0,0,0,0,0,0,0,0,0,1,0,0,0,2
1816,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1823,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1825,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1831,12,0,0,0,0,0,0,0,0,0,0,0,1,0,2
1834,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1839,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1844,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1848,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1852,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2
1857,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1860,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1861,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
